種別,1着,2着,オッズ
馬連,3,5,572.8
馬連,3,6,695.4
馬連,3,7,301.9
馬連,3,8,1218.4
馬連,3,9,405.6
馬連,3,10,1058.2
馬連,3,11,562.2
馬連,3,12,144.0
馬連,3,13,252.4
馬連,3,14,396.1
馬連,3,15,192.3
馬連,3,16,407.9
馬連,4,5,87.0
馬連,4,6,105.6
馬連,4,7,45.9
馬連,4,8,185.0
馬連,4,9,61.6
馬連,4,10,160.7
馬連,4,11,85.4
馬連,4,12,21.9
馬連,4,13,38.4
馬連,4,14,60.2
馬連,4,15,29.3
馬連,4,16,62.0
馬連,5,6,1919.0
馬連,5,7,833.0
馬連,5,8,3362.4
馬連,5,9,1119.1
馬連,5,10,2920.3
馬連,5,11,1551.6
馬連,5,12,397.2
馬連,5,13,696.4
馬連,5,14,1093.1
馬連,5,15,530.6
馬連,5,16,1125.6
馬連,6,7,1011.2
馬連,6,8,4081.7
馬連,6,9,1358.5
馬連,6,10,3544.9
馬連,6,11,1883.4
馬連,6,12,482.1
馬連,6,13,845.4
馬連,6,14,1326.9
馬連,6,15,644.0
馬連,6,16,1366.4
馬連,7,8,1771.8
馬連,7,9,589.7
馬連,7,10,1538.8
馬連,7,11,817.6
馬連,7,12,209.3
馬連,7,13,367.0
馬連,7,14,576.0
馬連,7,15,279.6
馬連,7,16,593.2
馬連,8,9,2380.4
馬連,8,10,6211.6
馬連,8,11,3300.2
馬連,8,12,844.7
馬連,8,13,1481.3
馬連,8,14,2325.1
馬連,8,15,1128.4
馬連,8,16,2394.2
馬連,9,10,2067.4
馬連,9,11,1098.4
馬連,9,12,281.2
馬連,9,13,493.1
馬連,9,14,773.9
馬連,9,15,375.6
馬連,9,16,796.9
馬連,10,11,2866.2
馬連,10,12,733.7
馬連,10,13,1286.5
馬連,10,14,2019.3
馬連,10,15,980.1
馬連,10,16,2079.4
馬連,11,12,389.8
馬連,11,13,683.5
馬連,11,14,1072.9
馬連,11,15,520.7
馬連,11,16,1104.8
馬連,12,13,175.0
馬連,12,14,274.7
馬連,12,15,133.3
馬連,12,16,282.8
馬連,13,14,481.6
馬連,13,15,233.8
馬連,13,16,495.9
馬連,14,15,366.9
馬連,14,16,778.4
馬連,15,16,377.8
